id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1233536222187802624,1233069308202360833,2020-02-28 18:35:28 EST,2020-02-28,18:35:28,-0400,1058017182,boosmommy1024,SquishyFacedDogSquad,,"@gijoe_abn @CNN You can have this and never have symptoms.
Few states have the capacity to test for it.
And the CDC must approve testing 

Comparing it to the flu is dishonest. China is intentionally under reporting it's numbers. There is no vaccine for COVID-19.",en,"['gijoe_abn', 'cnn']",[],[],0,0,0,[],[],https://twitter.com/boosmommy1024/status/1233536222187802624,,,0,,,,,,,,"{'user_id': '634611777', 'username': 'gijoe_abn'}",,,,
1232672673437822978,1232130865175592960,2020-02-26 09:24:01 EST,2020-02-26,09:24:01,-0400,814926011863273472,dmgoffalpha,David M Goff/Gough,,@BrianPiotrzkow1 I live in Omaha Ne. we have medical center UNMC that the CDC is using for treatment of COVID-19 patents there are between 15 &amp; 20. Yesterday there was a news blurb about then starting vaccine tests. Do you know how long it takes The FDA to approve human trials. Fast tracked?,en,['brianpiotrzkow1'],[],[],0,1,1,[],[],https://twitter.com/dmgoffalpha/status/1232672673437822978,,,0,,,,,,,,"{'user_id': '808775986670174212', 'username': 'BrianPiotrzkow1'}",,,,
1238435936255578112,1238220723803451392,2020-03-13 08:05:10 EDT,2020-03-13,08:05:10,-0400,3078078098,askuhc,Ask UnitedHealthcare,,"@435ftw Right now, there's no specific treatment or vaccine for COVID-19. The current test available in the US is the one provided by the CDC &amp; some state public health departments at no charge. The FDA is expected to approve testing at designated labs around the country.",en,[],[],[],0,0,0,[],[],https://twitter.com/askUHC/status/1238435936255578112,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1239340550115000321,1238205005594837013,2020-03-15 19:59:47 EDT,2020-03-15,19:59:47,-0400,2409029432,arihoopswagner,Ari Wagner,,"#Covid_19 #NBAQuarantine Day 4
—
Social Distancing a societal split
NFL &amp; Player approve new CBA
CDC recommends no events 50+ people for 2 months
NBA targeting June return — with no fans
1st trial dose for COVID-19 vaccine to be tested Monday
Fed cuts interest rates to near-zero",en,[],[],[],1,0,0,"['covid_19', 'nbaquarantine']",[],https://twitter.com/AriHoopsWagner/status/1239340550115000321,,,0,,,,,,,,"{'user_id': '2409029432', 'username': 'AriHoopsWagner'}",,,,
1253068203950919680,1253040868543660032,2020-04-22 17:08:35 EDT,2020-04-22,17:08:35,-0400,443044262,morteaitiranni,Ron Getty,,"@Education4Libs @crazypilot47 CDC owns patents for which it receives millions in royalties!
Can anyone believe CDC would approve a new Covid-19 vaccine because it is only thinking about saving lives?
🙄🙄🙄🙄🙄",en,"['education4libs', 'crazypilot47']",[],[],0,0,1,[],[],https://twitter.com/MorteAiTiranni/status/1253068203950919680,,,0,,,,,,,,"{'user_id': '817661098988019712', 'username': 'Education4Libs'}",,,,
1255716924056625152,1255716924056625152,2020-04-30 00:33:39 EDT,2020-04-30,00:33:39,-0400,1474274960,effiedog,Jesse Elin Browne,,The CDC will approve remdesivir for use in covid-19 recovery. Remember 2 things. It is only for someone who HAS the virus (it is not a vaccine or for prophylaxis) and it only has modest effect. But it's a start. It's something to build on. https://t.co/RPcnP3WInn,en,[],['https://www.cnn.com/2020/04/29/health/gilead-sciences-remdesivir-covid-19-treatment/index.html'],[],1,5,8,[],[],https://twitter.com/effiedog/status/1255716924056625152,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1257039668375363584,1257003402422345728,2020-05-03 16:09:46 EDT,2020-05-03,16:09:46,-0400,1255805958724468737,official_baruch,Oluwakayode Adebayo,,"@NCDCgov @PTFCOVID19 @Chikwe_I @channelstv @Fmohnigeria @WHO @CDCgov @NOA_Nigeria @sokolo12 @MoetiTshidi @OoasWaho @nighealthwatch @FMICNigeria #NCDC
You people should go to Madagascar to get COVID-19 organic. Other west African countries have ordered for it. Stop wasting people's life because of the money you want to loot. Don't wait for @ #WHO  to approve Vaccine for us.
Time waits for no man",en,"['ncdcgov', 'chikwe_i', 'channelstv', 'fmohnigeria', 'who', 'cdcgov', 'noa_nigeria', 'sokolo12', 'moetitshidi', 'ooaswaho', 'nighealthwatch', 'fmicnigeria']",[],[],0,0,0,"['ncdc', 'who']",[],https://twitter.com/official_baruch/status/1257039668375363584,,,0,,,,,,,,"{'user_id': '705694814612938752', 'username': 'NCDCgov'}",,,,
1257039623378939905,1257003402422345728,2020-05-03 16:09:35 EDT,2020-05-03,16:09:35,-0400,1255805958724468737,official_baruch,Oluwakayode Adebayo,,"@NCDCgov @NafdacAgency @Chikwe_I @AfricaCDC @JNkengasong @InfectiousDz @PHE_uk @CDCgov @WHO @nighealthwatch @FMHDSD @FMICNigeria @NOA_Nigeria #NCDC
Time waits for no man",en,"['ncdcgov', 'nafdacagency', 'chikwe_i', 'africacdc', 'jnkengasong', 'infectiousdz', 'cdcgov', 'who', 'nighealthwatch', 'fmhdsd', 'fmicnigeria', 'noa_nigeria']",[],[],0,0,5,"['ncdc', 'who']",[],https://twitter.com/official_baruch/status/1257039623378939905,,,0,,,,,,,,"{'user_id': '705694814612938752', 'username': 'NCDCgov'}",,,,
1277619818007592960,1277618067493629952,2020-06-29 11:07:56 EDT,2020-06-29,11:07:56,-0400,1132698835405475841,dewbiejones,dewbie jones 😎,,@yashar I know several skeptics of any vaccine that the CDC will approve only due to their incompetence of so many other things during the pandemic. Not anti-vaxxers just people who don't trust the Trump administration after their handling of covid plus the hydroxychloroquine debacle.,en,['yashar'],[],[],1,0,6,[],[],https://twitter.com/DewbieJones/status/1277619818007592960,,,0,,,,,,,,"{'user_id': '11744152', 'username': 'yashar'}",,,,
1284288681893756928,1284288681893756928,2020-07-17 20:47:37 EDT,2020-07-17,20:47:37,-0400,2897878428,dr_jlv3,"Jose L Vega III, MD",,"Introducing your 2020-2022 #CoVID-19 #vaccine! #Coronavirus #Pandemic
 
No injection needed! 💉 It doesn’t hurt, you’re not allergic to it and your #insurance doesn’t have to approve it!
#WearYourMask 😷 #MaskUp #N95 @3M @CDCgov 
#DoctorConBotas 👨🏻‍⚕️ https://t.co/cw7aC3z1Be",en,"['3m', 'cdcgov']",[],['https://pbs.twimg.com/media/EdK1vy-U0AANk7Y.jpg'],1,0,0,"['covid', 'vaccine', 'coronavirus', 'pandemic', 'insurance', 'wearyourmask', 'maskup', 'n95', 'doctorconbotas']",[],https://twitter.com/Dr_JLV3/status/1284288681893756928,,,1,https://pbs.twimg.com/media/EdK1vy-U0AANk7Y.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
